ID,Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
 1,     3,     7,     8,     1,     1,     1,     0,     7,     3,     5,     3,     5,     8,     5,     2,     4,     9,     7,     0,     0
 2,     4,     5,     7,     0,     0,     1,     1,     7,     6,     5,     1,     6,    10,     5,     3,     2,     9,     6,     0,     0
 3,     7,     3,     2,     7,     7,     2,     3,     0,     6,     8,     5,     1,     4,     5,     5,     2,     6,     4,     5,     4
 4,     5,     5,    10,     7,     0,     1,     3,     5,     5,     7,     5,     3,     1,     1,     0,     3,     1,     6,     9,     9
 5,     7,     9,     3,     8,     5,     0,     3,     0,     1,     3,     5,     1,     2,     7,     5,     1,     1,     6,     5,     2
 6,     2,     0,     1,     9,     3,     3,     7,     3,     1,     4,     4,     2,     5,     1,     5,     5,     6,     5,     7,     2
 7,     5,     7,     9,     6,     0,     0,     4,     7,     7,     5,     5,     0,     1,     2,     2,     2,     1,     5,     8,     8
 8,     5,     0,     1,     5,     3,     1,     8,     5,     0,     3,     1,     1,     2,     3,     7,     5,     6,     8,     9,     3
 9,     2,     1,     1,    10,     2,     1,     8,     4,     3,     6,     2,     2,     2,     4,     5,     5,     7,     6,     4,     2
10,     7,     7,     0,     8,     3,     1,     3,     1,     3,     4,     6,     3,     3,     7,     4,     2,     2,     7,     4,     6
11,     4,     2,     1,     8,     3,     0,     9,     5,     2,     5,     0,     1,     5,     2,     7,     6,     7,     5,     4,     3
12,     0,     3,     1,     7,     2,     2,     9,     4,     2,     5,     1,     0,     4,     4,     7,     6,     9,     6,     8,     1
13,     4,     9,    10,     7,     0,     1,     5,     7,     8,     6,     3,     1,     0,     0,     1,     2,     2,     6,     7,    10
14,     6,     6,     1,     9,     7,     1,     2,     2,     7,     4,     7,     4,     2,     8,     2,     5,     1,     8,     6,     5
15,     3,     0,     4,     6,     1,     0,     9,     5,     3,     6,     0,     2,     4,     1,     7,     4,     7,     9,     9,     3
16,     1,    10,     9,     1,     2,     0,     2,     5,     6,     5,     1,     3,    10,     4,     4,     3,     6,     7,     0,     0
17,     2,     3,     0,     6,     5,     1,    10,     5,     1,     5,     2,     3,     3,     4,     5,     5,     9,     5,     5,     5
18,     1,     3,     0,     7,     4,     0,     7,     6,     2,     7,     1,     3,     5,     2,     7,     3,     7,     7,     7,     1
19,     5,     7,     8,     6,     1,     3,     5,     6,     7,     5,     3,     3,     1,     1,     0,     2,     3,     6,     9,     9
20,     5,     5,     8,     6,     0,     0,     4,     5,     8,     7,     3,     1,     0,     0,     1,     0,     1,     6,     9,     9
21,     2,     8,     9,     0,     0,     0,     1,     5,     7,     4,     4,     5,     8,     1,     3,     3,     6,     4,     1,     0
22,     1,     6,     9,     2,     0,     1,     1,     3,     6,     5,     5,     6,     8,     5,     1,     1,     8,     3,     0,     0
23,     2,     2,     0,     6,     1,     2,     8,     3,     1,     5,     2,     1,     1,     1,     5,     3,     6,     4,     5,     2
24,     1,     3,     2,     8,     2,     1,     7,     4,     1,     7,     0,     2,     4,     3,     6,     5,     7,     5,     5,     3
25,     2,     7,     9,     0,     0,     0,     0,     5,     6,     5,     1,     7,     9,     4,     3,     1,     5,     6,     0,     0
26,     6,     4,     9,     4,     0,     1,     2,     3,     9,     6,     3,     1,     0,     0,     3,     2,     4,     6,     8,     9
27,     4,     3,     1,    10,     3,     0,     8,     2,     0,     6,     2,     0,     5,     3,     4,     3,     8,     6,     7,     1
28,     5,     5,     8,     1,     0,     0,     3,     6,     5,     4,     2,     4,     7,     3,     3,     4,     8,     8,     0,     0
29,     1,     8,     7,     0,     0,     2,     2,     3,     3,     0,     2,     5,    10,     6,     2,     1,     6,     6,     1,     0
30,     6,     6,    10,     5,     0,     0,     5,     5,     8,     6,     2,     1,     1,     0,     2,     0,     4,     4,     9,    10
31,     0,     3,     2,     6,     0,     0,     9,     5,     0,     7,     1,     2,     4,     3,     5,     5,     8,     6,     5,     3
32,     7,     7,     9,     6,     0,     0,     1,     3,     8,     6,     3,     0,     0,     1,     3,     1,     2,     6,    10,     6
33,     3,     3,     2,     7,     3,     0,     9,     6,     1,     6,     1,     1,     4,     4,     6,     5,     4,     7,     5,     3
34,     4,     9,     8,     1,     1,     0,     2,     5,     8,     5,     0,     5,    10,     5,     2,     0,     7,     5,     0,     0
35,     1,     2,     3,     7,     2,     0,    10,     4,     1,     5,     1,     2,     5,     3,    10,     6,     6,     4,     5,     2
36,     5,     5,     8,     6,     0,     0,     6,     6,     9,     4,     4,     0,     1,     1,     1,     2,     2,     4,     7,    10
37,     8,     8,     2,    10,     3,     1,     5,     2,     6,     3,     8,     0,     4,     6,     3,     2,     3,     4,     6,     3
38,     1,     3,     3,     7,     2,     0,     7,     4,     2,     3,     3,     2,     2,     1,     7,     3,     9,     6,     3,     3
39,     0,     1,     2,     4,     4,     1,     8,     4,     1,     3,     1,     3,     5,     0,     9,     6,     7,     5,     5,     3
